canonical_id,detloc,canonical_name,facility_state,city_dist,node_id,url,field_office_name,address_line1,address_line2,city,zip,page_address,source
2030,LRAHOLD,Little Rock Hold Room,AR,0,62149,https://ice.gov/node/62149,New Orleans Field Office,4501 E Roosevelt Road,NA,Little Rock,72206,"4501 E Roosevelt Road, Little Rock, AR, 72206",ice_node
2121,NSVHOLD,Nashville Hold Room,TN,0,62088,https://ice.gov/node/62088,New Orleans Field Office,501 Brick Church Park Drive,NA,Nashville,37207,"501 Brick Church Park Drive, Nashville, TN, 37207",ice_node
2151,ANCHOLD,Anchorage Sub-Office Hold Room,AK,0,62173,https://ice.gov/node/62173,Seattle Field Office,620 East 10th Avenue,NA,Anchorage,99501,"620 East 10th Avenue, Anchorage, AK, 99501",ice_node
2152,MOAHOLD,Mobile Holdroom,AL,0,62152,https://ice.gov/node/62152,NA,500 Interstate Park Drive,Suite 529,Mobile,36109,"500 Interstate Park Drive, Suite 529, Mobile, AL, 36109",ice_node
2154,REDHOLD,Redding Hold Room,CA,0,NA,NA,NA,443 Redcliff Drive,NA,Redding,96001,"443 Redcliff Drive, Redding, CA, 96001",media
2156,CSDHOLD,Colo Springs Den Hsi Hold,CO,0,NA,NA,NA,415 East Pikes Peak Avenue,NA,Colorado Springs,80903,"415 East Pikes Peak Avenue, Colorado Springs, CO, 80903",media
2158,BLGHOLD,Bowling Green Hold Room,KY,0,NA,NA,NA,1013 Morgantown Rd,NA,Bowling Green,42101,"1013 Morgantown Rd, Bowling Green, KY, 42101",ice_doc
2159,SALHOLD,Salisbury Hold Room,MD,0,62052,https://ice.gov/node/62052,Baltimore Field Office,119 W. Naylor Mill Road,Suite 11,Salisbury,21801,"119 W. Naylor Mill Road, Suite 11, Salisbury, MD, 21801",ice_node
2160,DULHOLD,Duluth Hold Room,MN,0,NA,NA,NA,4431 Endeavor Drive,NA,Duluth,55802,"4431 Endeavor Drive, Duluth, MN, 55802",media
2161,MLJHOLD,Mount Laurel Hold Room,NJ,0,62093,https://ice.gov/node/62093,Newark Field Office,532 Fellowship Road,Suite A,Mount Laurel,08054,"532 Fellowship Road, Suite A, Mount Laurel, NJ, 08054",ice_node
2162,LASHOLD,Las Cruces Hold Room,NM,0,NA,NA,NA,1140 Commerce Drive,Suite B,Las Cruces,88001,"1140 Commerce Drive, Suite B, Las Cruces, NM, 88001",aclu
2163,RSWHOLD,Roswell Hold Room,NM,0,NA,NA,NA,500 N. Richardson Avenue,NA,Roswell,88201,"500 N. Richardson Avenue, Roswell, NM, 88201",aclu
2164,CHMHOLD,Champlain Hold Room,NY,0,62125,https://ice.gov/node/62125,Buffalo Field Office,237 West Service Road,"Room CB 107, Unit 8",Champlain,12919,"237 West Service Road, Room CB 107, Unit 8, Champlain, NY, 12919",ice_node
2165,CIPHOLD,Central Islip Hold Room,NY,0,NA,NA,NA,100 Federal Plaza,NA,Central Islip,11722,"100 Federal Plaza, Central Islip, NY, 11722",media
2166,NBGHOLD,Newburgh Holding,NY,0,NA,NA,NA,15 Governor Drive,NA,Newburgh,12550,"15 Governor Drive, Newburgh, NY, 12550",media
2167,SYRHOLD,Syracuse Hold Room,NY,0,NA,NA,NA,401 S. Salina Street,Suite 108,Syracuse,13202,"401 S. Salina Street, Suite 108, Syracuse, NY, 13202",media
2169,WPOHOLD,Williamsport Hold Room,PA,0,NA,NA,NA,2851 S Reach Rd,NA,Williamsport,17701,"2851 S Reach Rd, Williamsport, PA, 17701",media
2170,YRKHOLD,York Hold Room,PA,0,62157,https://ice.gov/node/62157,Philadelphia Field Office,1605 Clugston Road,NA,York,17404,"1605 Clugston Road, York, PA, 17404",ice_node
2171,CRPHOLD,Corpus Christi Eor Hold Room,TX,0,NA,NA,NA,9149 State Highway 44,NA,Corpus Christi,78406,"9149 State Highway 44, Corpus Christi, TX, 78406",aclu
2173,MCAHOLD,Mcallen Hold Room,TX,0,NA,NA,NA,2202 Cornerstone Blvd,NA,Edinburg,78539,"2202 Cornerstone Blvd, Edinburg, TX, 78539",aclu
2174,MTGHOLD,Montgomery Hold Rm,TX,0,NA,NA,NA,806 Hilbig Rd,NA,Conroe,77301,"806 Hilbig Rd, Conroe, TX, 77301",ice_doc
2175,LTVHOLD,"Lorton, Va Hold Room",VA,0,NA,NA,NA,8209 Terminal Road,NA,Lorton,22079,"8209 Terminal Road, Lorton, VA, 22079",ice_doc
2176,RMKHOLD,Roanoke Sub-Office Hold Room,VA,0,NA,NA,NA,103 West Main Street,NA,Salem,24153,"103 West Main Street, Salem, VA, 24153",ice_doc
2177,FDLHOLD,Ferndale Hold Room,WA,0,NA,NA,NA,5200 Industrial Pl,NA,Ferndale,98248,"5200 Industrial Pl, Ferndale, WA, 98248",aclu
2178,RICHOLD,Richland Hold Room,WA,0,62177,https://ice.gov/node/62177,Seattle Field Office,825 Jadwin Avenue,Room G165,Richland,99352,"825 Jadwin Avenue, Room G165, Richland, WA, 99352",ice_node
2179,SPOHOLD,Spokane Hold Room,WA,0,62178,https://ice.gov/node/62178,Seattle Field Office,411 W Cataldo Avenue,NA,Spokane,99201,"411 W Cataldo Avenue, Spokane, WA, 99201",ice_node
2180,WNTHOLD,Wenatchee Hold Room,WA,0,62179,https://ice.gov/node/62179,Seattle Field Office,3701 River Road,NA,Yakima,98902,"3701 River Road, Yakima, WA, 98902",ice_node
